name,price,spec_score,user_rating,cpu1,cpu2,ram,hdd,ssd,gpu,display,os,warranty
HP Omen 16-xd0017AX Gaming Laptop (AMD Ryzen 7 7840HS/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),118490,81,4.65,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",32 GB DDR5 RAM,NULL,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,"16.1 inches, 1080 x 1920 pixels",Windows 11 OS,1 Year Warranty
HP 255 G10 Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11),28990,50,4.4,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",8 GB DDR4 RAM,NULL,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
HP Victus 15-fa1319TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB RTX 4050),68841,61,4.55,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP 15-fc0154AU Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),30790,57,4.7,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8 GB DDR5 RAM,NULL,512 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Omen 16-wf1096TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),109100,79,4.4,14th Gen Intel Core i7 14650HX,"16 Cores (8P + 8E), 24 Threads",16 GB DDR5 RAM,NULL,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Victus 15-fb0185AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),51990,68,4.5,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,NULL,512 GB SSD,4 GB AMD Radeon RX 6500M,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP 15-fd0574TU Laptop (13th Gen Core i3/ 16GB/ 512GB SSD/ Win11 Home),41880,54,4.7,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP 15-fc0476AU Laptop (AMD Ryzen 7 5825U/ 16GB/ 512GB SSD/ Win11 Home),52504,59,4.75,5th Gen AMD Ryzen 7 5825U,"Octa Core, 16 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Victus 15-fb3009AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),73990,72,4.35,8th Gen AMD Ryzen 5 8645HS,"Hexa Core, 12 Threads",16 GB DDR5 RAM,NULL,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP 15-hr0007TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),59990,52,4.65,13th Gen Intel Core i5 1334U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,Intel Integrated,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Victus 15-fb0147AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),51880,68,4.3,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,NULL,512 GB SSD,4 GB AMD Radeon RX 6500M,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP 255 G10 B1FW9PT Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11),25290,48,4.7,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8 GB DDR4 RAM,NULL,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
HP Victus 15-fa1276TX Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 8GB Graph),85990,66,4.65,13th Gen Intel Core i7 13620H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,8 GB NVIDIA GeForce RTX 4060,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Victus 15-fa1351TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ RTX 2050),56990,61,4.75,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Omen 16-xd0020AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),107990,77,4.65,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,NULL,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Victus 16-s0089AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),77990,73,4.1,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,NULL,1 TB SSD,6 GB NVIDIA GeForce RTX 3050,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP 14-ep0294TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),40990,50,4.3,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,NULL,512 GB SSD,Intel UHD Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Victus 15-fb3003AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),63990,70,4.1,8th Gen AMD Ryzen 5 8645HS,"Hexa Core, 12 Threads",16 GB DDR5 RAM,NULL,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP ‎15-fd0467TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),58490,57,4.2,13th Gen Intel Core i5 1334U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,‎Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Victus 15-fb2117AX Gaming Laptop (AMD Ryzen 7 8845HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),87990,74,4.5,8th Gen AMD Ryzen 7 8845HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,NULL,1 TB SSD,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Victus 15-fb2117AX Gaming Laptop (AMD Ryzen 7 8845HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),87990,74,4.5,8th Gen AMD Ryzen 7 8845HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,NULL,1 TB SSD,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Omen 16-wf0148TX Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),136700,77,4,13th Gen Intel Core i9 13900HX,"24 Cores (8P + 16E), 32 Threads",16 GB DDR5 RAM,NULL,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,"16.1 inches, 2560 x 1440 pixels",Windows 11 OS,1 Year Warranty
HP Victus15-fb0147AX Gaming Laptop (Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),48990,57,4.7,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,NULL,512 GB SSD,4 GB AMD Radeon AMD Radeon RX 6500M,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Omen 16-xf0060AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),105490,78,4.7,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,NULL,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,"16 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP 15-fd0489TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),39490,48,4.3,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",8 GB  RAM,NULL,512 GB SSD,Intel Integrated,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP 15-fd1255TU Laptop (Intel Core Ultra 5 125H/ 16GB/ 1TB SSD/ Win11 Home),69990,59,4.45,Intel Core Ultra 5 Series 1 125H,"14 Cores (4P + 8E + 2LP-E), 18 Threads",16 GB DDR5 RAM,NULL,1 TB SSD,Intel Integrated,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Victus ‎15-fb0180AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),54990,63,4.75,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,NULL,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Victus 15-fa2703TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),62990,61,4.65,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Victus 15-fb3025AX Gaming Laptop (AMD Ryzen 9 8945HS/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),107749,77,4.05,8th Gen AMD Ryzen 9 8945HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,NULL,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP B12V5PT Laptop (13th Gen Core i3/ 16GB/ 512GB SSD/ Win11),33100,53,4.7,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,Intel Integrated Graphics,"15.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
HP 245 G9 Laptop (AMD Ryzen 5 5625U/ 16GB RAM/ 512GB SSD/ Win11),34499,60,4.4,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,AMD Radeon Graphics,"14 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
HP 15s-fy5011TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),34490,53,4.05,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,NULL,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Omen 16-xd0015AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),97990,75,4.25,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,NULL,1 TB SSD,6 GB NVIDIA GeForce RTX 4050,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Omen 16-wd0012TX Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),101100,72,4.7,13th Gen Intel Core i7 13620H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR5 RAM,NULL,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Omen Transcend 14-fb0007TX Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),119990,74,4.65,Intel Core Ultra 7 Series 1 155H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 GB LPDDR5x RAM,NULL,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,"14 inches, 2880 x 1800 pixels",Windows 11 OS,1 Year Warranty
HP Victus 15-fa0187TX Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),74990,71,4.6,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR4 RAM,NULL,1 TB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Pavilion x360 14-ek1010TU Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11),70490,65,4.15,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,NULL,1 TB SSD,Intel Integrated Iris Xe,"14 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
HP Victus 15-fa2077TX Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB RTX3050 Graph),92945,65,4.75,13th Gen Intel Core i7 13620H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP OmniBook 5 16-ba1123TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),67490,53,4.35,13th Gen Intel Core i5 1334U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR5x RAM,NULL,512 GB SSD,Intel Iris Xe Graphics,"16 inches, 1920 x 1200 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
HP 250 G10 ‎BJ3R8AT Laptop (13th Gen Core i5/ 32GB/ 512GB SSD/ Win11),62990,52,4.55,13th Gen Intel Core i5 1334U,"10 Cores (2P + 8E), 12 Threads",32 GB  RAM,NULL,512 GB SSD,Intel Integrated UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP 15-fd0572TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),40990,53,4.6,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,NULL,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP 15-fd1254TU Laptop (Intel Core Ultra 5 125H/ 16GB/ 512GB SSD/ Win11 Home),66990,57,4.1,Intel Core Ultra 5 Series 1 125H,"14 Cores (4P + 8E + 2LP-E), 18 Threads",16 GB DDR5 RAM,NULL,512 GB SSD,Intel ARC Integrated,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP OmniBook 5 16-ba1008TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),69490,53,4.1,13th Gen Intel Core i5 1334U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR5x RAM,NULL,512 GB SSD,Intel Iris Xe Graphics,"16 inches, 1920 x 1200 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
HP Victus 15-fa2090TX Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ RTX 2050),63800,53,4.2,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",8 GB DDR4 RAM,NULL,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP OmniBook X Flip 14-fm0058TU Next Gen AI PC Laptop (Intel Core Ultra 5/ 16GB RAM/ 512GB SSD/ WIn 11),109990,71,4.05,Intel Core Ultra 5 226V,"Octa Core (4P + 4LP-E), 8 Threads",16 GB LPDDR5x RAM,NULL,512 GB SSD,Intel Arc Graphics,"14 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
HP Omen 17-cm2027TX Gaming Laptop (13th Gen Core i7/ 16GB RAM/ 1TB SSD/ Win 11/ 8GB Graphics),126200,75,4.45,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",16 GB DDR5 RAM,NULL,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,"17.3 inches, 2560 x 1440 pixels",Windows 11 OS,1 Year Warranty
HP Omen 16 Max 16-ah0076TX Gaming Laptop (Intel Core Ultra 9 275HX/ 32GB/ 1TB SSD/ Win11/ 16GB NVIDIA GeForce RTX 5080),309990,96,4.15,Intel Core Ultra 9 275HX,"24 Cores (8P + 16E), 24 Threads",32 GB DDR5 RAM,NULL,1 TB SSD,16 GB NVIDIA GeForce RTX 5080,"16 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
HP Victus 15-fb3012AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),72799,72,4.1,8th Gen AMD Ryzen 5 8645HS,"Hexa Core, 12 Threads",16 GB DDR5 RAM,NULL,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP ‎15-fd0468TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),68490,55,4.45,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP 255 G10 ‎‎B69V0PT#ACJ Laptop (AMD Athlon Silver 7120U/ 8GB/ 256GB SSD/ Win11),23910,30,4,AMD Athlon 7120U,NULL,8 GB  RAM,NULL,256 GB SSD,AMD Integrated,"15.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
HP 250R G9 B10MTA#ACJ Laptop (13th Gen Core i3/ 16GB/ 512GB SSD/ Win11),33400,55,4.15,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,Intel Integrated UHD Graphics,"15.6 inches, 1366 x 768 pixels",Windows OS,1 Year Warranty
HP 15-fd0492TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),56490,55,4.35,13th Gen Intel Core i5 1334U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,‎Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP ‎15-fd0465TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),40900,53,4.25,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,NULL,512 GB SSD,‎Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Victus FA1198TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),72990,62,4.75,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP 255 G10 B15J0PT Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Dos),29790,45,4.65,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",8 GB DDR4 RAM,NULL,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1366 x 768 pixels",DOS OS,1 Year Warranty
HP Victus 16-wf1150TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB RTX 4060),122990,79,4.7,14th Gen Intel Core i7 14650HX,"16 Cores (8P + 8E), 24 Threads",16 GB DDR5 RAM,NULL,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP 15-fd1197TU Laptop (Intel Core Ultra 5 125H/ 16GB/ 1TB SSD/ Win11 Home),70490,61,4.55,Intel Core Ultra 5 Series 1 125H,"14 Cores (4P + 8E + 2LP-E), 18 Threads",16 GB DDR5 RAM,NULL,1 TB SSD,Intel Integrated Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Victus 15-fa1278TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX4050),77000,60,4.3,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP 15-fd0070TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),46390,51,4.3,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB  RAM,NULL,512 GB SSD,Intel Integrated Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP 15-fd0061TU Laptop (12th Gen Core i3/ 8 GB/ 512GB SSD/ Win11 Home),34990,48,4.7,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB  RAM,NULL,512 GB SSD,Intel Integrated Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP 15-fd0111TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),48999,56,4.2,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Pavilion 16 AI 16-ag0019AU Laptop (AMD Ryzen 5 8540U/ 16GB / 512GB SSD/ Win11),58990,62,4.2,8th Gen AMD Ryzen 5 8540U,"Hexa Core, 12 Threads",16 GB LPDDR5 RAM,NULL,512 GB SSD,AMD Radeon AMD,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
HP 15-fd0129TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),36990,55,4.55,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,NULL,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Victus Special Edition 15-fa1379TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ RTX 3050A),61990,59,4.05,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,4 GB NVIDIA GeForce RTX 3050A,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Victus Special Edition 15-fa1382TX Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ RTX 3050A),68990,61,4.35,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,4 GB NVIDIA GeForce RTX 3050A,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Victus 15-fa0333TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB RTX 3050),71500,59,4.2,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP 15s-fc0156AU Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),42990,59,4,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",16 GB LPDDR5 RAM,NULL,512 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP 15-fc0155AU Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),36990,56,4.25,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",8 GB LPDDR5 RAM,NULL,512 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP 14-gr1022TU Laptop (Intel Core Ultra 5 125H/ 16GB/ 512GB SSD/ Win11 Home),67890,57,4.3,Intel Core Ultra 5 Series 1 125H,"14 Cores (4P + 8E + 2LP-E), 18 Threads",16 GB DDR5 RAM,NULL,512 GB SSD,Intel Arc Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP 15-fd0123TU Laptop (Intel Core i3 N305/ 8GB/ 512GB SSD/ Win11 Home),30490,47,4.55,Intel Core i3 N305,"Octa Core, 8 Threads",8 GB DDR4 RAM,NULL,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Victus 15-fb2114AX Gaming Laptop (AMD Ryzen 7 8845HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),84490,73,4.1,8th Gen AMD Ryzen 7 8845HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,NULL,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Pavilion Plus ‎16-ab0015TX Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11/ 6GB RTX3050 Graphics,82548,69,4.25,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5x RAM,NULL,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,"16 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
HP Victus 15-FA1279TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX4050),72990,60,4,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
HP Victus 15-fa1327TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB RTX3050 Graph),73799,63,4.4,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
