name,price,spec_score,user_rating,cpu1,cpu2,ram,hdd,ssd,gpu,display,os,warranty
Dell Alienware 17 (Y569972HIN9) Laptop (6th Gen Ci7/ 16GB/ 1TB/ Win10/ 4GB Graph),170000,NULL,3.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dell Alienware 17 (AW17781TB3A1) Laptop (4th Gen Ci7/ 8GB/ 1TB/ Win8.1/ 3GB Graph),169999,NULL,4.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dell Alienware 17 Laptop (6th Gen Ci7/ 8GB/ 1TB/ Win10/ 3GB Graph),139999,57,3.7,6th Gen Intel Core i7 6700HQ,"Quad Core, 8 Threads",8 GB DDR4 RAM,1 TB Hard Disk,NULL,3 GB NVIDIA GeForce GTX 980M,"17.3 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
Dell Alienware M14X Laptop (2nd Gen Ci7/ 4GB/ 500GB/ Win7 HP/ 1.5GB Graph),77300,41,3.85,2nd Gen Intel Core i7 2670QM,NULL,4 GB DDR3 RAM,500 GB Hard Disk,NULL,1.5 GB NVIDIA GeForce GT555M,"14 inches, 1600 x 900 pixels",Windows 7 OS,NULL
Dell Alienware 13 Y560901IN9 Laptop (5th Gen Intel Core i5/ 8GB/ 1TB/ Win8.1/ 2GB Graph),69990,NULL,3.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dell Alienware 13 Laptop (4th Gen Intel Core i5/16GB/ 1TB/ Win8.1/ 2GB Graph),89775,61,3.65,4th Gen Intel Core i5 4210U,"Dual Core, 4 Threads",16 GB DDR3 RAM,1 TB Hard Disk,NULL,2 GB NVIDIA GeForce GTX 860M,"12.87 inches, 1920 x 1080 pixels, Touch Screen",Windows 8 OS,NULL
Dell Alienware 17 Laptop (4th Gen Ci7/ 16GB/ 1TB/ Win8.1/ 8GB Graph),182880,63,3.8,4th Gen Intel Core i7 4710MQ,"Quad Core, 8 Threads",16 GB DDR3 RAM,1 TB Hard Disk,NULL,8 GB Nvidia GeForce GTX 880M,"17.26 inches, 1920 x 1080 pixels",Windows 8 OS,NULL
Dell Alienware 14 Laptop (4th Gen Ci7/ 16GB 256GB SSD/ 1TB/ Win8.1/ 2GB Graph),159999,60,3.6,4th Gen Intel Core i7 4710MQ,"Quad Core, 8 Threads",16 GB  RAM,1 TB Hard Disk,256 GB SSD,2 GB Nvidia GeForce GTX 765M,"14 inches, 1920 x 1080 pixels",Windows 8.1 OS,NULL
Dell Alienware 13 Laptop (4th Gen Intel Core i5/ 8GB/ 1TB/ Win8.1/ 2GB Graph),92986,54,3.8,4th Gen Intel Core i5 4210U,"Dual Core, 4 Threads",8 GB DDR3 RAM,1 TB Hard Disk,NULL,2 GB NVIDIA GeForce GTX 860M,"13 inches, 1920 x 1080 pixels",Windows 8 OS,1 Year Warranty
Dell Alienware 14 (X560912IN9) Laptop (4th Gen Ci7/ 8GB/ 1TB/ Win8.1/ 2GB Graph),108739,NULL,3.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
